day of game,eventId,facevalue,update date,today's price,last week's price,price 2 weeks ago,price 3 weeks ago,price 4 weeks ago,pct_chng_from_1wk,pct_chng_from_2wk,pct_chng_from_3wk,pct_chng_from_4wk
2016-08-09 19:05,9445290,40.32,2016-08-06,60,51,50,54,56,18.19%,20.93%,10.64%,8.45%
2016-08-10 19:05,9445291,40.32,2016-08-06,59,56,56,53,56,5.04%,6.16%,10.76%,6.22%
2016-08-12 13:20,9445310,72.8,2016-08-06,133,153,155,167,155,-13.21%,-14.52%,-20.5%,-14.52%
2016-08-16 19:05,9445298,40.32,2016-08-06,54,50,47,52,46,9.3%,14.64%,4.56%,17.5%
2016-08-17 19:05,9445299,40.32,2016-08-06,51,50,52,50,46,2.33%,-2.22%,2.33%,10.0%
2016-08-29 19:05,9445349,26.88,2016-08-06,40,43,38,32,38,-5.41%,6.06%,25.01%,6.06%
2016-08-30 19:05,9445351,26.88,2016-08-06,38,43,37,38,37,-11.51%,2.32%,-0.75%,2.32%
2016-08-31 19:05,9445352,26.88,2016-08-06,35,37,37,37,38,-6.23%,-6.25%,-6.25%,-8.81%
2016-09-15 19:05,9445301,17.92,2016-08-06,39,38,31,32,32,3.19%,25.93%,23.7%,21.7%
2016-09-18 13:20,9445304,40.32,2016-08-05,85,57,76,71,57,48.99%,12.31%,19.67%,48.99%
2016-09-19 19:05,9445368,17.92,2016-08-06,31,29,30,27,26,7.01%,2.89%,12.63%,16.32%
2016-09-20 19:05,9445369,17.92,2016-08-05,31,29,29,29,29,8.0%,8.0%,7.09%,8.0%
2016-09-25 13:20,9445314,40.32,2016-08-06,105,107,106,101,101,-2.17%,-1.08%,3.46%,3.45%
